Geographic Area,City,Median Income
AK,Sand Point,56875
AK,Savoonga,33661
AK,Saxman,46250
AK,Scammon Bay,27917
AK,Selawik,41827
AK,Seldovia,46875
AK,Seldovia Village CDP,59250
AK,Seward,53750
AK,Shageluk,(X)
AK,Shaktoolik,38750
AK,Shishmaref,29375
AK,Shungnak,43125
AK,Silver Springs CDP,85341
AK,Sitka and borough,70376
AK,Skagway CDP,69643
AK,Skwentna CDP,31667
AK,Slana CDP,18063
AK,Sleetmute CDP,30313
AK,Soldotna,65048
AK,South Naknek CDP,58750
AK,South Van Horn CDP,65750
AK,Stebbins,39271
AK,Steele Creek CDP,82049
AK,Sterling CDP,71597
AK,Stevens Village CDP,15938
AK,Stony River CDP,22500
AK,Sunrise CDP,-
AK,Susitna CDP,-
AK,Susitna North CDP,50536
AK,Sutton-Alpine CDP,35500
AK,Takotna CDP,23750
AK,Talkeetna CDP,49861
AK,Tanacross CDP,18194
AK,Tanaina CDP,78263
AK,Tanana,45625
AK,Tatitlek CDP,40000
AK,Tazlina CDP,64688
AK,Teller,24792
AK,Tenakee Springs,54375
AK,Tetlin CDP,21563
AK,Thorne Bay,53393
AK,Togiak,46250
AK,Tok CDP,56818
AK,Toksook Bay,64000
AK,Tolsona CDP,-
AK,Tonsina CDP,-
AK,Trapper Creek CDP,23125
AK,Tuluksak CDP,23214
AK,Tuntutuliak CDP,36750
AK,Tununak CDP,32500
AK,Twin Hills CDP,38125
AK,Two Rivers CDP,66466
AK,Tyonek CDP,33750
AK,Ugashik CDP,53958
AK,Unalakleet,68015
AK,Unalaska,90500
AK,Upper Kalskag,36806
AK,Valdez,98204
AK,Venetie CDP,27500
AK,Wainwright,64583
AK,Wales,29063
AK,Wasilla,61541
AK,Whale Pass CDP,-
AK,White Mountain,27083
AK,Whitestone CDP,-
AK,Whitestone Logging Camp CDP,-
AK,Whittier,55893
AK,Willow CDP,61970
AK,Willow Creek CDP,-
AK,Wiseman CDP,-
AK,Womens Bay CDP,86818
AK,Wrangell and borough,48603
AK,Yakutat CDP,72500
AZ,Aguila CDP,26842
AZ,Ajo CDP,32964
AZ,Ak Chin CDP,-
AZ,Ak-Chin Village CDP,25197
AZ,Alamo Lake CDP,-
AZ,Ali Chuk CDP,18661
AZ,Ali Chukson CDP,(X)
AZ,Ali Molina CDP,(X)
AZ,Alpine CDP,(X)
AZ,Amado CDP,50284
AZ,Anegam CDP,(X)
AZ,Antares CDP,25417
AZ,Anthem CDP,85893
AZ,Apache Junction,35671
AZ,Arivaca CDP,22130
AZ,Arivaca Junction CDP,36354
AZ,Arizona CDP,42927
AZ,Arizona Village CDP,35625
AZ,Arlington CDP,(X)
AZ,Ash Fork CDP,25762
AZ,Avenue B and C CDP,26495
AZ,Avondale,55100
AZ,Avra Valley CDP,49902
AZ,Aztec CDP,-
AZ,Bagdad CDP,78233
AZ,Bear Flat CDP,-
AZ,Beaver Dam CDP,45078
AZ,Beaver Valley CDP,(X)
AZ,Benson,32010
AZ,Beyerville CDP,31875
AZ,Bisbee,31010
AZ,Bitter Springs CDP,25000
AZ,Black Canyon CDP,35781
AZ,Blackwater CDP,18068
AZ,Bluewater CDP,33355
AZ,Bouse CDP,30326
AZ,Bowie CDP,33438
AZ,Brenda CDP,57708
AZ,Bryce CDP,56771
AZ,Buckeye town,58939
AZ,Buckshot CDP,-
AZ,Bullhead,35948
AZ,Burnside CDP,24583
AZ,Bylas CDP,24028
AZ,Cactus Flats CDP,56897
AZ,Cactus Forest CDP,26573
AZ,Cameron CDP,35000
AZ,Campo Bonito CDP,-
AZ,Camp Verde town,32957
AZ,Cane Beds CDP,47647
AZ,Canyon Day CDP,30000
AZ,Carefree town,93014
AZ,Carrizo CDP,22946
AZ,Casa Blanca CDP,18750
AZ,Casa Grande,44348
AZ,Casas Adobes CDP,56265
AZ,Catalina CDP,50885
AZ,Catalina Foothills CDP,78586
AZ,Cave Creek town,76149
AZ,Cedar Creek CDP,22411
AZ,Centennial Park CDP,45060
AZ,Central CDP,(X)
AZ,Central Heights-Midland CDP,34000
AZ,Chandler,72695
AZ,Charco CDP,(X)
AZ,Chiawuli Tak CDP,-
AZ,Chilchinbito CDP,16528
AZ,Chinle CDP,41296
AZ,Chino Valley town,43379
AZ,Chloride CDP,20431
AZ,Christopher Creek CDP,23611
AZ,Chuichu CDP,39350
AZ,Cibecue CDP,18088
AZ,Cibola CDP,36940
AZ,Cienega Springs CDP,33636
AZ,Citrus Park CDP,93684
AZ,Clacks Canyon CDP,100104
AZ,Clarkdale town,46949
AZ,Claypool CDP,32796
AZ,Clay Springs CDP,(X)
AZ,Clifton town,58036
AZ,Colorado town,30150
AZ,Comobabi CDP,-
AZ,Concho CDP,-
AZ,Congress CDP,39364
AZ,Coolidge,39621
AZ,Copper Hill CDP,-
